group_key,group_size,id,alloy,cycle1_holdingtemp_degc,cycle1_holdingtime_min,article_url,original_image,ai_cleaned_image,augumented_data,c,mn,si,cr,p,s,mo,cu,ni,al,nb,v,ti,ti_nb_v,b,ce_la,fe,pixel_size,heat_treatment_type,num_cycles,cycle0_rolling,cycle0_rtemp,cycle0_rpercentage,cycle1_hrate_degc_min,cycle1_crate_degc_s,cycle1_rolling,cycle1_rtemp,cycle1_rpercentage,cycle1_qtype,cycle1_qtemp,cycle1_qtime_min,cycle2_hrate_degc_min,cycle2_holdingtemp_degc,cycle2_holdingtime_min,cycle2_crate_degc_s,cycle2_rolling,cycle2_rtemp_degc,cycle2_rpercentage,cycle2_qtype,cycle2_qtemp_degc,cycle2_qtime_min,cycle3_hrate_degc_min,cycle3_holdingtemp_degc,cycle3_holdingtime_min,cycle3_crate_degc_s,cycle3_rolling,cycle3_rtemp,cycle3_rpercentage,cycle3_qtype,cycle3_qtemp,cycle3_qtime,cycle4_hrate_degc_min,cycle4_holdingtemp_degc,cycle4_holdingtime_min,cycle4_crate_degc_s,cycle4_rolling,cycle4_rtemp,cycle4_rpercentage,cycle4_qtype,cycle4_qtemp,cycle4_qtime
RE-microalloyed DP steel__880.0__20.0,4,6_5_a1_RE-microalloyed DP steel,RE-microalloyed DP steel,880.0,20.0,,,,https://drive.google.com/drive/folders/1ua6dKHKItH6EQLL4_tWpZXbjOH_Md9wT,0.19,1.6,0.4,0.15,0.01,0.005,0.05,,,0.035,,,,Nb 0.02,0.0012,0.015,97.5438,,,3.0,,,,,,,,,water,25.0,,,780.0,20.0,,,,,water ,25.0,,,250.0,40.0,,,,,air,25.0,,,,,,,,,,,
RE-microalloyed DP steel__880.0__20.0,4,6_5_b1_RE-microalloyed DP steel,RE-microalloyed DP steel,880.0,20.0,,,,https://drive.google.com/drive/folders/1GkLOGI2ASQG38iNlQJGXSZbLX7yU9sAh,0.19,1.6,0.4,0.15,0.01,0.005,0.05,,,0.035,,,,Nb 0.03,0.0012,0.015,97.5438,,,3.0,,,,,,,,,water,25.0,,,800.0,20.0,,,,,water ,25.0,,,250.0,40.0,,,,,air,25.0,,,,,,,,,,,
RE-microalloyed DP steel__880.0__20.0,4,6_5_c1_RE-microalloyed DP steel,RE-microalloyed DP steel,880.0,20.0,,,,https://drive.google.com/drive/folders/1Q0OrDrwG5oxoHVxfK7CtJwhWa_fvBXN6,0.19,1.6,0.4,0.15,0.01,0.005,0.05,,,0.035,,,,Nb 0.04,0.0012,0.015,97.5438,,,3.0,,,,,,,,,water,25.0,,,820.0,20.0,,,,,water ,25.0,,,250.0,40.0,,,,,air,25.0,,,,,,,,,,,
RE-microalloyed DP steel__880.0__20.0,4,6_5_d1_RE-microalloyed DP steel,RE-microalloyed DP steel,880.0,20.0,,,,https://drive.google.com/drive/folders/1VF3Rkc-Y_-ALZkqdSwTuELG0qFh1z4R7,0.19,1.6,0.4,0.15,0.01,0.005,0.05,,,0.035,,,,Nb 0.05,0.0012,0.015,97.5438,,,3.0,,,,,,,,,water,25.0,,,840.0,20.0,,,,,water ,25.0,,,250.0,40.0,,,,,air,25.0,,,,,,,,,,,
Commercial-Grade API 5CT Steel __730.0__2.0,1,7_4_a_Commercial-GradeAPI5CTSteel,Commercial-Grade API 5CT Steel ,730.0,2.0,,,,https://drive.google.com/drive/folders/1asmPZAKI14iQgCXe-AEtyBckwdysnROu,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,98.03,,Austenizing → water quench,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel __730.0__5.0,1,7_4_b_Commercial-GradeAPI5CTSteel,Commercial-Grade API 5CT Steel ,730.0,5.0,,,,https://drive.google.com/drive/folders/1Ak145FI14yZ9T89QAFnqO28c_Xggx_6Y,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,98.03,,Austenizing → water quench,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel __730.0__10.0,1,7_4_c_Commercial-GradeAPI5CTSteel,Commercial-Grade API 5CT Steel ,730.0,10.0,,,,https://drive.google.com/drive/folders/1u5ulEvg6x9N2vijZTCu6xUyP21_jOBLH,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,98.03,,Austenizing → water quench,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel __730.0__20.0,1,7_4_d_Commercial-GradeAPI5CTSteel,Commercial-Grade API 5CT Steel ,730.0,20.0,,,,https://drive.google.com/drive/folders/1ljmAnqbadghorQlG_tViQM711UJoEh61,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,98.03,,Austenizing → water quench,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel __760.0__2.0,1,7_4_e_Commercial-GradeAPI5CTSteel,Commercial-Grade API 5CT Steel ,760.0,2.0,,,,https://drive.google.com/drive/folders/1GVf17AXm05d3w2Vy6LS8HSSIqdVn1eEl,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,98.03,,Austenizing → water quench,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel __760.0__5.0,1,7_4_f_Commercial-GradeAPI5CTSteel,Commercial-Grade API 5CT Steel ,760.0,5.0,,,,https://drive.google.com/drive/folders/1f2eSPN3D-I1GPgMVBDDDwWy6QSW30UxG,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,98.03,,Austenizing → water quench,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
