,,Metadata,,,,Features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloy,Article url,ID,Original_Image,AI_Cleaned_Image,Augumented_Data,C (wt.%),Mn (wt.%),Si,Cr (wt.%),P,S,Mo,Cu,Ni,Al,Nb,V,Ti,Fe,Ti+Nb+V,B,Ce+La,Pixel_Size,Heat treatment type,Num_Cycles,Cycle0_Rolling,Cycle0_Rtemp,Cycle0_ RPercentage,Cycle1_HRate (C/min),Cycle1_HoldingTemp (C),Cycle1_HoldingTime (min),Cycle1_CRate (°C/s),Cycle1_Rolling,Cycle1_Rtemp,Cycle1_ RPercentage,Cycle1_   Qtype,Cycle1_Qtemp,Cycle1_Qtime(min),Cycle2_HRate (C/min),Cycle2_HoldingTemp (C),Cycle2_HoldingTime (min),Cycle2_CRate (C/s),Cycle2_  rolling,Cycle2_Rtemp (C),Cycle2_ RPercentage,Cycle2_  Qtype,Cycle2_Qtemp  (C),Cycle2_Qtime   (min),Cycle3_HRate (C/min),Cycle3_HoldingTemp   (°C),Cycle3_HoldingTime     (min),Cycle3_CRate   (°C/s),Cycle3_rolling,Cycle3_Rtemp,Cycle3_ RPercentage,Cycle3_  Qtype,Cycle3_Qtemp,Cycle3_Qtime,Cycle4_HRate (C/min),Cycle4_HoldingTemp   (°C),Cycle4_HoldingTime     (min),Cycle4_CRate   (°C/s),Cycle4_rolling,Cycle4_Rtemp,Cycle4_ RPercentage,Cycle4_  Qtype,Cycle4_Qtemp,Cycle4_Qtime
Spring steel,,3_2_A_Q860-T,,,,0.38,Mn + Cr + Ni = 2.20,1.47,Mn + Cr + Ni = 2.20,0.0033,0.0045,,,Mn + Cr + Ni = 2.20,0.048,,,,,0.16,,,,Austenitize → Oil quench → Tempering → Water cooling,2,hot rolling,1050 °C→850 °C→800 °C,,,860,40,,,,92,oil,25,NA,NA,400,60,,,,,water ,25,NA,,,,,,,,,,,,,,,,,,,,
Spring steel,,3_2_B_Q890-T,,,,0.38,Mn + Cr + Ni = 2.20,1.47,Mn + Cr + Ni = 2.20,0.0033,0.0045,,,Mn + Cr + Ni = 2.20,0.048,,,,,0.16,,,,,,hot rolling,1051 °C→850 °C→800 °C,,,890,40,,,,92,oil,25,NA,NA,400,60,,,,,water ,25,NA,,,,,,,,,,,,,,,,,,,,
Spring steel,,3_2_C_Q920-T,,,,0.38,Mn + Cr + Ni = 2.20,1.47,Mn + Cr + Ni = 2.20,0.0033,0.0045,,,Mn + Cr + Ni = 2.20,0.048,,,,,0.16,,,,,,hot rolling,1052 °C→850 °C→800 °C,,,920,40,,,,92,oil,25,NA,NA,400,60,,,,,water ,25,NA,,,,,,,,,,,,,,,,,,,,
Spring steel,,3_2_D_Q950-T,,,,0.38,Mn + Cr + Ni = 2.20,1.47,Mn + Cr + Ni = 2.20,0.0033,0.0045,,,Mn + Cr + Ni = 2.20,0.048,,,,,0.16,,,,,,hot rolling,1053 °C→850 °C→800 °C,,,950,40,,,,92,oil,25,NA,NA,400,60,,,,,water ,25,NA,,,,,,,,,,,,,,,,,,,,
Spring steel,,3_3_A_Q-T300,,,,0.38,Mn + Cr + Ni = 2.20,1.47,Mn + Cr + Ni = 2.20,0.0033,0.0045,,,Mn + Cr + Ni = 2.20,0.048,,,,,0.16,,,,,,hot rolling,1054 °C→850 °C→800 °C,,,890,40,,,,92,oil,25,NA,NA,300,60,,,,,water ,25,NA,,,,,,,,,,,,,,,,,,,,
Spring steel,,3_3_B_Q-T350,,,,0.38,Mn + Cr + Ni = 2.20,1.47,Mn + Cr + Ni = 2.20,0.0033,0.0045,,,Mn + Cr + Ni = 2.20,0.048,,,,,0.16,,,,,,hot rolling,1055 °C→850 °C→800 °C,,,890,40,,,,92,oil,25,NA,NA,350,60,,,,,water ,25,NA,,,,,,,,,,,,,,,,,,,,
Spring steel,,3_3_C_Q-T400,,,,0.38,Mn + Cr + Ni = 2.20,1.47,Mn + Cr + Ni = 2.20,0.0033,0.0045,,,Mn + Cr + Ni = 2.20,0.048,,,,,0.16,,,,,,hot rolling,1056 °C→850 °C→800 °C,,,890,40,,,,92,oil,25,NA,NA,400,60,,,,,water ,25,NA,,,,,,,,,,,,,,,,,,,,
Spring steel,,3_3_D_Q-T450,,,,0.38,Mn + Cr + Ni = 2.20,1.47,Mn + Cr + Ni = 2.20,0.0033,0.0045,,,Mn + Cr + Ni = 2.20,0.048,,,,,0.16,,,,,,hot rolling,1057 °C→850 °C→800 °C,,,890,40,,,,92,oil,25,NA,NA,450,60,,,,,water ,25,NA,,,,,,,,,,,,,,,,,,,,
MS27,,2_3_B_MS27,,,https://drive.google.com/drive/folders/1d0LgNTfzc3MxmvDQLezMu1c-_nGOU_QC,0.087,1.99,0.21,0.049,0.01,0.003,0.18,0,0,0.005,,,,,,,,,,2,,,,,900,30,,cold rolling,25,27,water,25,NA,NA,800,15,NA,,,,water ,25,NA,,,,,,,,,,,,,,,,,,,,
CR54,,2_3_C_CR54,,,https://drive.google.com/drive/folders/1869rSAu8It6QKy9S1xKUODhQaT3mdF5M,0.087,1.99,0.21,0.049,0.01,0.003,0.18,0,0,0.005,,,,,,,,,,2,,,,,900,30,,cold rolling,25,27,water,25,NA,NA,800,15,NA,cold rolled,25,27%,water ,25,NA,,,,,,,,,,,,,,,,,,,,
MS54,,2_3_D_MS54,,,https://drive.google.com/drive/folders/1iLwWj7LK65rkxy-TquAX8-SQkPmDWtR4,0.087,1.99,0.21,0.049,0.01,0.003,0.18,0,0,0.005,,,,,,,,,,2,,,,,900,30,,cold rolling,25,27,water,25,NA,NA,800,15,NA,cold rolled,25,27%,water ,25,NA,NA,800,15,NA,,,,water ,25,NA,,,,,,,,,,
CR81,,2_3_E_CR81,,,,0.087,1.99,0.21,0.049,0.01,0.003,0.18,0,0,0.005,,,,,,,,,,2,,,,,900,30,,cold rolling,25,27,water,25,NA,NA,800,15,NA,cold rolled,25,27%,water ,25,NA,NA,800,15,NA,cold rolled,25,27%,water ,25,NA,,,,,,,,,,
MS81,,2_3_F_MS81,,,https://drive.google.com/drive/folders/1JDAHKjGknCuFZWF51qbypJeA79eciU44,0.087,1.99,0.21,0.049,0.01,0.003,0.18,0,0,0.005,,,,,,,,,,2,,,,,900,30,,cold rolling,25,27,water,25,NA,NA,800,15,NA,cold rolled,25,27%,water ,25,NA,NA,800,15,NA,cold rolled,25,27%,water ,25,NA,NA,800,15,NA,,,,water ,25,NA
SS81,,2_3_H_SS81,,,https://drive.google.com/drive/folders/1EEOWh6nUVO7Uq8nvjYjo0k6KNBb8aG3Y,0.087,1.99,0.21,0.049,0.01,0.003,0.18,0,0,0.005,,,,,,,,,,2,,,,,900,30,,cold rolling,25,81,water,25,NA,NA,800,15,NA,cold rolled,25,27%,water ,25,NA,,,,,,,,,,,,,,,,,,,,
AISI 4340,,5_5_a_AISI,No idea how to put them :(,,https://drive.google.com/drive/folders/1ERQcjxyP6r8lJxlvg2W6vajTUqsI34i-,0.391,0.68,0.329,0.83,0.0021,0.0073,0.204,,1.66,,,,,,,,,,Austenizing → annealing,1,,,,,900,120,,,,,switch-off furnace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISI 4340,,5_5_b_AISI,,,https://drive.google.com/drive/folders/1hJc7dFmT7KPG_twciIaWrwkdtEuRmm8s,0.391,0.68,0.329,0.83,0.0021,0.0073,0.204,,1.66,,,,,,,,,,Austenizing → annealing,1,,,,,950,120,,,,,switch-off furnace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISI 4340,,5_6_a_AISI,,,https://drive.google.com/drive/folders/1SlDaReAyDmMHVNiRI23XwmTi4A4Z-3zh,0.391,0.68,0.329,0.83,0.0021,0.0073,0.204,,1.66,,,,,,,,,,Austenizing → normalizing,1,,,,,900,120,,,,,air,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
