,,Metadata,,,,Features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloy,Article url,ID,Original_Image,AI_Cleaned_Image,Augumented_Data,C (wt.%),Mn (wt.%),Si,Cr (wt.%),P,S,Mo,Cu,Ni,Al,Nb,B,Ce+La,Pixel_Size,Heat treatment type,Num_Cycles,Cycle0_Rolling,Cycle0_Rtemp,Cycle0_ RPercentage,Cycle1_HRate (C/min),Cycle1_HoldingTemp (C),Cycle1_HoldingTime (min),Cycle1_CRate (°C/s),Cycle1_Rolling,Cycle1_Rtemp,Cycle1_ RPercentage,Cycle1_   Qtype,Cycle1_Qtemp,Cycle1_Qtime(min),Cycle2_HRate (C/min),Cycle2_HoldingTemp (C),Cycle2_HoldingTime (min),Cycle2_CRate (C/s),Cycle2_  rolling,Cycle2_Rtemp (C),Cycle2_ RPercentage,Cycle2_  Qtype,Cycle2_Qtemp  (C),Cycle2_Qtime   (min),Cycle3_HRate (C/min),Cycle3_HoldingTemp   (°C),Cycle3_HoldingTime     (min),Cycle3_CRate   (°C/s),Cycle3_rolling,Cycle3_Rtemp,Cycle3_ RPercentage,Cycle3_  Qtype,Cycle3_Qtemp,Cycle3_Qtime,Cycle4_HRate (C/min),Cycle4_HoldingTemp   (°C),Cycle4_HoldingTime     (min),Cycle4_CRate   (°C/s),Cycle4_rolling,Cycle4_Rtemp,Cycle4_ RPercentage,Cycle4_  Qtype,Cycle4_Qtemp,Cycle4_Qtime
MS27,,2_3_B_MS27,,,https://drive.google.com/drive/folders/1d0LgNTfzc3MxmvDQLezMu1c-_nGOU_QC,0.087,1.99,0.21,0.049,0.01,0.003,0.18,,,0.005,,,,,,2,,,,,900,30,,cold rolling,25,27,water,25,NA,NA,800,15,NA,,,,water ,25,NA,,,,,,,,,,,,,,,,,,,,
CR54,,2_3_C_CR54,,,https://drive.google.com/drive/folders/1869rSAu8It6QKy9S1xKUODhQaT3mdF5M,0.087,1.99,0.21,0.049,0.01,0.003,0.18,,,0.005,,,,,,2,,,,,900,30,,cold rolling,25,27,water,25,NA,NA,800,15,NA,cold rolled,25,27,water ,25,NA,,,,,,,,,,,,,,,,,,,,
MS54,,2_3_D_MS54,,,https://drive.google.com/drive/folders/1iLwWj7LK65rkxy-TquAX8-SQkPmDWtR4,0.087,1.99,0.21,0.049,0.01,0.003,0.18,,,0.005,,,,,,3,,,,,900,30,,cold rolling,25,27,water,25,NA,NA,800,15,NA,cold rolled,25,27,water ,25,NA,NA,800,15,NA,,,,water ,25,NA,,,,,,,,,,
CR81,,2_3_E_CR81,,,,0.087,1.99,0.21,0.049,0.01,0.003,0.18,,,0.005,,,,,,3,,,,,900,30,,cold rolling,25,27,water,25,NA,NA,800,15,NA,cold rolled,25,27,water ,25,NA,NA,800,15,NA,cold rolled,25,27%,water ,25,NA,,,,,,,,,,
MS81,,2_3_F_MS81,,,https://drive.google.com/drive/folders/1JDAHKjGknCuFZWF51qbypJeA79eciU44,0.087,1.99,0.21,0.049,0.01,0.003,0.18,,,0.005,,,,,,4,,,,,900,30,,cold rolling,25,27,water,25,NA,NA,800,15,NA,cold rolled,25,27,water ,25,NA,NA,800,15,NA,cold rolled,25,27%,water ,25,NA,NA,800,15,NA,,,,water ,25,NA
SS81,,2_3_H_SS81,,,https://drive.google.com/drive/folders/1EEOWh6nUVO7Uq8nvjYjo0k6KNBb8aG3Y,0.087,1.99,0.21,0.049,0.01,0.003,0.18,,,0.005,,,,,,2,,,,,900,30,,cold rolling,25,81,water,25,NA,NA,800,15,NA,cold rolled,25,27,water ,25,NA,,,,,,,,,,,,,,,,,,,,
RE-microalloyed DP steel,,6_5_a1_RE-microalloyed DP steel,,,https://drive.google.com/drive/folders/1yH1KD2hwBgtb_JKnmUnFifUfGybeofl3,0.19,1.6,0.4,0.15,0.01,0.005,0.05,,,0.035,0.02,0.0012,0.015,,,3,,,,,880,20,,,,,water,25,NA,,780,20,,,,,water ,25,,,250,40,,,,,air,25,,,,,,,,,,,
DP-LAS,,8_5_A_DP-LAS,,,https://drive.google.com/drive/folders/1Z5v1DWkXP-gdEnau-xagS0JixviuM8zx,0.17,1.3,0.24,,,,,,0.97,,,,,,,2,hot rolling,1050,69,,900,30,,,,,furnace ,25,,,770,30,,,,,ice water,0,,,,,,,,,,,,,,,,,,,,,
