number,cv_r2,state,datetime_start,datetime_complete,best_so_far
0,0.7716159701562845,COMPLETE,2026-04-26 11:05:32.650699,2026-04-26 11:05:50.176022,0.7716159701562845
1,0.7801750064741613,COMPLETE,2026-04-26 11:05:32.656018,2026-04-26 11:06:09.212837,0.7801750064741613
2,-0.1636792397956859,COMPLETE,2026-04-26 11:05:32.658532,2026-04-26 11:05:35.934293,0.7801750064741613
3,0.7763717604157911,COMPLETE,2026-04-26 11:05:32.661521,2026-04-26 11:06:11.895837,0.7801750064741613
4,-0.1413348597816869,COMPLETE,2026-04-26 11:05:32.665472,2026-04-26 11:05:34.977003,0.7801750064741613
5,-0.17044145137613254,COMPLETE,2026-04-26 11:05:32.670237,2026-04-26 11:05:34.978790,0.7801750064741613
6,0.8063121247913504,COMPLETE,2026-04-26 11:05:32.672911,2026-04-26 11:06:16.681481,0.8063121247913504
7,0.7888073525237175,COMPLETE,2026-04-26 11:05:32.674269,2026-04-26 11:06:04.603543,0.8063121247913504
8,0.7836350981532416,COMPLETE,2026-04-26 11:05:34.980197,2026-04-26 11:05:59.806458,0.8063121247913504
9,0.7881453065255244,COMPLETE,2026-04-26 11:05:34.982109,2026-04-26 11:05:47.820067,0.8063121247913504
10,0.7771501574355875,COMPLETE,2026-04-26 11:05:35.936861,2026-04-26 11:05:57.029759,0.8063121247913504
11,0.8102549998174625,COMPLETE,2026-04-26 11:05:47.822326,2026-04-26 11:06:29.530780,0.8102549998174625
12,0.5556611168288267,COMPLETE,2026-04-26 11:05:50.178185,2026-04-26 11:06:03.351925,0.8102549998174625
13,0.7801348482708724,COMPLETE,2026-04-26 11:05:57.038225,2026-04-26 11:06:18.701731,0.8102549998174625
14,0.7720055745976034,COMPLETE,2026-04-26 11:05:59.808628,2026-04-26 11:06:23.130921,0.8102549998174625
15,0.7620671524141603,COMPLETE,2026-04-26 11:06:03.362654,2026-04-26 11:06:34.774124,0.8102549998174625
16,-0.16006514606011293,COMPLETE,2026-04-26 11:06:04.609587,2026-04-26 11:06:11.612406,0.8102549998174625
17,0.7960415920016632,COMPLETE,2026-04-26 11:06:09.227082,2026-04-26 11:06:24.135450,0.8102549998174625
18,0.7847144227257523,COMPLETE,2026-04-26 11:06:11.616091,2026-04-26 11:06:22.850223,0.8102549998174625
19,0.7905968226601376,COMPLETE,2026-04-26 11:06:11.918984,2026-04-26 11:06:42.138525,0.8102549998174625
20,0.7829077005247309,COMPLETE,2026-04-26 11:06:16.696596,2026-04-26 11:06:34.581292,0.8102549998174625
21,0.7962197420743906,COMPLETE,2026-04-26 11:06:18.717365,2026-04-26 11:06:47.950788,0.8102549998174625
22,0.7849379244273246,COMPLETE,2026-04-26 11:06:22.852471,2026-04-26 11:06:44.169408,0.8102549998174625
23,0.7848287887210041,COMPLETE,2026-04-26 11:06:23.140987,2026-04-26 11:07:28.720142,0.8102549998174625
24,0.7769088771314582,COMPLETE,2026-04-26 11:06:24.138870,2026-04-26 11:06:52.304650,0.8102549998174625
25,0.579646629170718,COMPLETE,2026-04-26 11:06:29.533055,2026-04-26 11:06:39.791906,0.8102549998174625
26,0.6688170025734027,COMPLETE,2026-04-26 11:06:34.582709,2026-04-26 11:06:47.208353,0.8102549998174625
27,0.7992917902706597,COMPLETE,2026-04-26 11:06:34.775633,2026-04-26 11:07:29.329841,0.8102549998174625
28,0.8038343707820675,COMPLETE,2026-04-26 11:06:39.802200,2026-04-26 11:07:34.800543,0.8102549998174625
29,0.4756318550135586,COMPLETE,2026-04-26 11:06:42.164432,2026-04-26 11:07:09.000142,0.8102549998174625
30,0.45939255486442465,COMPLETE,2026-04-26 11:06:44.171861,2026-04-26 11:07:09.520358,0.8102549998174625
31,0.42373904807084734,COMPLETE,2026-04-26 11:06:47.220247,2026-04-26 11:07:13.154355,0.8102549998174625
32,0.4237624537052238,COMPLETE,2026-04-26 11:06:47.980082,2026-04-26 11:07:13.924132,0.8102549998174625
33,0.7992576971730128,COMPLETE,2026-04-26 11:06:52.309706,2026-04-26 11:07:52.843564,0.8102549998174625
