number,cv_r2,state,datetime_start,datetime_complete,best_so_far
0,0.39904228499187483,COMPLETE,2026-04-26 11:13:07.758971,2026-04-26 11:13:32.795484,0.39904228499187483
1,0.4493043068476938,COMPLETE,2026-04-26 11:13:07.760377,2026-04-26 11:13:21.992301,0.4493043068476938
2,-0.4979288508862501,COMPLETE,2026-04-26 11:13:07.762846,2026-04-26 11:13:16.865624,0.4493043068476938
3,0.7058295187130854,COMPLETE,2026-04-26 11:13:07.764591,2026-04-26 11:13:19.394581,0.7058295187130854
4,0.384524320871332,COMPLETE,2026-04-26 11:13:07.766231,2026-04-26 11:13:18.668319,0.7058295187130854
5,0.8095827848441032,COMPLETE,2026-04-26 11:13:07.768987,2026-04-26 11:13:55.200030,0.8095827848441032
6,0.7241200097121933,COMPLETE,2026-04-26 11:13:07.770460,2026-04-26 11:13:21.072449,0.8095827848441032
7,0.3865585500520384,COMPLETE,2026-04-26 11:13:07.772967,2026-04-26 11:13:48.729525,0.8095827848441032
8,-0.1153342894536759,COMPLETE,2026-04-26 11:13:16.868752,2026-04-26 11:13:24.376985,0.8095827848441032
9,0.6050033588544828,COMPLETE,2026-04-26 11:13:18.689898,2026-04-26 11:13:24.131698,0.8095827848441032
10,-0.49975118804987645,COMPLETE,2026-04-26 11:13:19.398134,2026-04-26 11:13:25.174890,0.8095827848441032
11,0.25467055693496016,COMPLETE,2026-04-26 11:13:21.092614,2026-04-26 11:13:26.791703,0.8095827848441032
12,-0.27967736335861676,COMPLETE,2026-04-26 11:13:21.995277,2026-04-26 11:13:30.648621,0.8095827848441032
13,-0.04234363294490203,COMPLETE,2026-04-26 11:13:24.136267,2026-04-26 11:13:32.028870,0.8095827848441032
14,-0.021572360642068408,COMPLETE,2026-04-26 11:13:24.381055,2026-04-26 11:13:32.718734,0.8095827848441032
15,-0.0690192345489118,COMPLETE,2026-04-26 11:13:25.177502,2026-04-26 11:13:32.752720,0.8095827848441032
