number,cv_r2,state,datetime_start,datetime_complete,best_so_far
0,0.4527690436653619,COMPLETE,2026-04-26 11:19:16.933389,2026-04-26 11:19:17.583752,0.4527690436653619
1,0.611734483796782,COMPLETE,2026-04-26 11:19:16.934860,2026-04-26 11:19:17.571910,0.611734483796782
2,-0.43209047753371194,COMPLETE,2026-04-26 11:19:16.936818,2026-04-26 11:19:17.594869,0.611734483796782
3,0.4353462535587626,COMPLETE,2026-04-26 11:19:16.937704,2026-04-26 11:19:17.593626,0.611734483796782
4,0.46663846814869425,COMPLETE,2026-04-26 11:19:16.939617,2026-04-26 11:19:17.610447,0.611734483796782
5,0.21134107047728615,COMPLETE,2026-04-26 11:19:16.941580,2026-04-26 11:19:17.590711,0.611734483796782
6,0.13645233049777977,COMPLETE,2026-04-26 11:19:16.943017,2026-04-26 11:19:17.605495,0.611734483796782
7,0.0780160026283306,COMPLETE,2026-04-26 11:19:16.943961,2026-04-26 11:19:17.608832,0.611734483796782
8,0.034416680401971884,COMPLETE,2026-04-26 11:19:17.573175,2026-04-26 11:19:18.241000,0.611734483796782
9,-0.005688838786988642,COMPLETE,2026-04-26 11:19:17.584646,2026-04-26 11:19:18.276373,0.611734483796782
10,0.20621761116287057,COMPLETE,2026-04-26 11:19:17.591598,2026-04-26 11:19:18.261121,0.611734483796782
11,0.6971133401229456,COMPLETE,2026-04-26 11:19:17.596193,2026-04-26 11:19:18.264688,0.6971133401229456
12,0.13645233049777977,COMPLETE,2026-04-26 11:19:17.597645,2026-04-26 11:19:18.259913,0.6971133401229456
13,0.4353462535587626,COMPLETE,2026-04-26 11:19:17.606783,2026-04-26 11:19:18.281110,0.6971133401229456
14,-0.24705089900582933,COMPLETE,2026-04-26 11:19:17.611413,2026-04-26 11:19:18.267251,0.6971133401229456
15,0.4353462535587626,COMPLETE,2026-04-26 11:19:17.612968,2026-04-26 11:19:18.310129,0.6971133401229456
16,0.45413550774862843,COMPLETE,2026-04-26 11:19:18.242498,2026-04-26 11:19:18.917402,0.6971133401229456
17,0.611734483796782,COMPLETE,2026-04-26 11:19:18.262173,2026-04-26 11:19:18.923871,0.6971133401229456
18,0.20621761116287057,COMPLETE,2026-04-26 11:19:18.265734,2026-04-26 11:19:18.926835,0.6971133401229456
19,0.13645233049777977,COMPLETE,2026-04-26 11:19:18.269047,2026-04-26 11:19:18.944216,0.6971133401229456
20,0.034416680401971884,COMPLETE,2026-04-26 11:19:18.270661,2026-04-26 11:19:18.965147,0.6971133401229456
21,0.6712589842688016,COMPLETE,2026-04-26 11:19:18.278232,2026-04-26 11:19:18.935754,0.6971133401229456
22,0.4422338081764087,COMPLETE,2026-04-26 11:19:18.283160,2026-04-26 11:19:18.941860,0.6971133401229456
23,0.340773720123643,COMPLETE,2026-04-26 11:19:18.312125,2026-04-26 11:19:18.995830,0.6971133401229456
24,-0.43209047753371194,COMPLETE,2026-04-26 11:19:18.920442,2026-04-26 11:19:19.585009,0.6971133401229456
25,0.4422338081764087,COMPLETE,2026-04-26 11:19:18.925296,2026-04-26 11:19:19.612113,0.6971133401229456
26,0.25784479592142,COMPLETE,2026-04-26 11:19:18.928667,2026-04-26 11:19:19.609409,0.6971133401229456
27,0.7073174361431712,COMPLETE,2026-04-26 11:19:18.937317,2026-04-26 11:19:19.606027,0.7073174361431712
28,0.7073174361431712,COMPLETE,2026-04-26 11:19:18.943636,2026-04-26 11:19:19.613696,0.7073174361431712
29,0.7073174361431712,COMPLETE,2026-04-26 11:19:18.946801,2026-04-26 11:19:19.607591,0.7073174361431712
30,0.7073174361431712,COMPLETE,2026-04-26 11:19:18.967074,2026-04-26 11:19:19.641840,0.7073174361431712
31,0.7073174361431712,COMPLETE,2026-04-26 11:19:18.998782,2026-04-26 11:19:19.671253,0.7073174361431712
32,0.7073174361431712,COMPLETE,2026-04-26 11:19:19.586796,2026-04-26 11:19:20.258573,0.7073174361431712
33,0.7073174361431712,COMPLETE,2026-04-26 11:19:19.610856,2026-04-26 11:19:20.289282,0.7073174361431712
34,0.7073174361431712,COMPLETE,2026-04-26 11:19:19.611395,2026-04-26 11:19:20.311500,0.7073174361431712
35,0.7073174361431712,COMPLETE,2026-04-26 11:19:19.615259,2026-04-26 11:19:20.265095,0.7073174361431712
36,0.7073174361431712,COMPLETE,2026-04-26 11:19:19.616352,2026-04-26 11:19:20.277082,0.7073174361431712
