number,cv_r2,state,datetime_start,datetime_complete,best_so_far
0,0.7742590533259401,COMPLETE,2026-04-26 12:48:03.310260,2026-04-26 12:48:22.731096,0.7742590533259401
1,0.784176293663038,COMPLETE,2026-04-26 12:48:03.312114,2026-04-26 12:48:45.762234,0.784176293663038
2,0.7838962407676207,COMPLETE,2026-04-26 12:48:03.314335,2026-04-26 12:48:35.358404,0.784176293663038
3,0.800296383622096,COMPLETE,2026-04-26 12:48:03.315353,2026-04-26 12:48:38.876427,0.800296383622096
4,0.7932603166601748,COMPLETE,2026-04-26 12:48:03.317174,2026-04-26 12:48:32.794481,0.800296383622096
5,0.7967419535096812,COMPLETE,2026-04-26 12:48:03.321583,2026-04-26 12:48:44.150639,0.800296383622096
6,0.7832215252335368,COMPLETE,2026-04-26 12:48:03.325822,2026-04-26 12:48:52.409317,0.800296383622096
7,0.797709882885791,COMPLETE,2026-04-26 12:48:03.327543,2026-04-26 12:48:43.227764,0.800296383622096
8,0.7955906559986354,COMPLETE,2026-04-26 12:48:22.740161,2026-04-26 12:48:41.984020,0.800296383622096
9,0.7991606235311494,COMPLETE,2026-04-26 12:48:32.816479,2026-04-26 12:48:51.817825,0.800296383622096
10,0.7817995226488301,COMPLETE,2026-04-26 12:48:35.360844,2026-04-26 12:49:14.721292,0.800296383622096
11,0.8002767576466638,COMPLETE,2026-04-26 12:48:38.889906,2026-04-26 12:48:49.036627,0.800296383622096
12,-0.4671078025935118,COMPLETE,2026-04-26 12:48:41.986592,2026-04-26 12:48:45.880732,0.800296383622096
13,0.7829556862677838,COMPLETE,2026-04-26 12:48:43.249773,2026-04-26 12:49:17.912388,0.800296383622096
14,0.8025026130809096,COMPLETE,2026-04-26 12:48:44.154488,2026-04-26 12:49:16.996305,0.8025026130809096
15,0.6550531132986825,COMPLETE,2026-04-26 12:48:45.770042,2026-04-26 12:49:05.521566,0.8025026130809096
16,0.795428327067374,COMPLETE,2026-04-26 12:48:45.902295,2026-04-26 12:49:24.810730,0.8025026130809096
17,0.7776728635585761,COMPLETE,2026-04-26 12:48:49.039324,2026-04-26 12:49:09.264110,0.8025026130809096
18,0.7970577030670633,COMPLETE,2026-04-26 12:48:51.819101,2026-04-26 12:49:07.018245,0.8025026130809096
19,0.6477893275087768,COMPLETE,2026-04-26 12:48:52.411680,2026-04-26 12:49:00.170869,0.8025026130809096
20,0.5519532511323794,COMPLETE,2026-04-26 12:49:00.194719,2026-04-26 12:49:06.629681,0.8025026130809096
21,-0.26237118506118995,COMPLETE,2026-04-26 12:49:05.532938,2026-04-26 12:49:07.594862,0.8025026130809096
22,0.5809851681933995,COMPLETE,2026-04-26 12:49:06.638777,2026-04-26 12:49:19.721095,0.8025026130809096
23,0.8042559657833115,COMPLETE,2026-04-26 12:49:07.019381,2026-04-26 12:49:31.813610,0.8042559657833115
24,0.7996693548692103,COMPLETE,2026-04-26 12:49:07.609436,2026-04-26 12:49:20.456425,0.8042559657833115
25,0.7775267977251135,COMPLETE,2026-04-26 12:49:09.266522,2026-04-26 12:49:26.503563,0.8042559657833115
26,0.7980988248066148,COMPLETE,2026-04-26 12:49:14.723393,2026-04-26 12:49:49.916997,0.8042559657833115
27,0.7999547101509742,COMPLETE,2026-04-26 12:49:17.000181,2026-04-26 12:49:47.834875,0.8042559657833115
28,0.7927573910124253,COMPLETE,2026-04-26 12:49:17.914099,2026-04-26 12:49:47.069532,0.8042559657833115
29,0.4098491976706427,COMPLETE,2026-04-26 12:49:19.722651,2026-04-26 12:49:32.159634,0.8042559657833115
30,0.7776250765357922,COMPLETE,2026-04-26 12:49:20.461413,2026-04-26 12:49:55.792075,0.8042559657833115
31,0.5779628646727785,COMPLETE,2026-04-26 12:49:24.829114,2026-04-26 12:49:39.799332,0.8042559657833115
32,0.8023612733027998,COMPLETE,2026-04-26 12:49:26.517035,2026-04-26 12:49:55.496148,0.8042559657833115
33,0.3969133701695553,COMPLETE,2026-04-26 12:49:31.820486,2026-04-26 12:49:43.435327,0.8042559657833115
34,0.7992056501524261,COMPLETE,2026-04-26 12:49:32.182399,2026-04-26 12:50:11.221043,0.8042559657833115
35,0.794215189827044,COMPLETE,2026-04-26 12:49:39.801745,2026-04-26 12:50:10.720314,0.8042559657833115
36,0.7969709894831578,COMPLETE,2026-04-26 12:49:43.473387,2026-04-26 12:50:23.742079,0.8042559657833115
37,0.7730594054426047,COMPLETE,2026-04-26 12:49:47.083552,2026-04-26 12:50:34.035760,0.8042559657833115
38,0.7922920116513397,COMPLETE,2026-04-26 12:49:47.839002,2026-04-26 12:50:03.165664,0.8042559657833115
39,0.8058315937051271,COMPLETE,2026-04-26 12:49:49.918981,2026-04-26 12:50:04.459282,0.8058315937051271
40,0.7767150606115348,COMPLETE,2026-04-26 12:49:55.501357,2026-04-26 12:50:31.931255,0.8058315937051271
41,0.783105712861756,COMPLETE,2026-04-26 12:49:55.801357,2026-04-26 12:50:27.870919,0.8058315937051271
42,0.7766179877611208,COMPLETE,2026-04-26 12:50:03.170943,2026-04-26 12:50:32.852153,0.8058315937051271
43,0.7989847407906437,COMPLETE,2026-04-26 12:50:04.461157,2026-04-26 12:50:31.496417,0.8058315937051271
44,0.7773327409803693,COMPLETE,2026-04-26 12:50:10.735137,2026-04-26 12:50:54.295998,0.8058315937051271
45,0.7807499579954795,COMPLETE,2026-04-26 12:50:11.226148,2026-04-26 12:50:42.361607,0.8058315937051271
46,0.797274568973722,COMPLETE,2026-04-26 12:50:23.746119,2026-04-26 12:51:02.271930,0.8058315937051271
47,0.7982830991393652,COMPLETE,2026-04-26 12:50:27.876988,2026-04-26 12:51:10.149451,0.8058315937051271
