number,cv_r2,state,datetime_start,datetime_complete,best_so_far
0,0.04818074208335037,COMPLETE,2026-04-26 12:54:18.881671,2026-04-26 12:54:27.263905,0.04818074208335037
1,-0.28840134881685375,COMPLETE,2026-04-26 12:54:18.883333,2026-04-26 12:54:25.441890,0.04818074208335037
2,0.15366596564883736,COMPLETE,2026-04-26 12:54:18.885103,2026-04-26 12:54:37.761723,0.15366596564883736
3,0.7429698118195518,COMPLETE,2026-04-26 12:54:18.886667,2026-04-26 12:54:36.913431,0.7429698118195518
4,0.21797985038628812,COMPLETE,2026-04-26 12:54:18.889219,2026-04-26 12:54:27.209297,0.7429698118195518
5,0.38350960809003465,COMPLETE,2026-04-26 12:54:18.893027,2026-04-26 12:54:27.368180,0.7429698118195518
6,0.6273952489448095,COMPLETE,2026-04-26 12:54:18.894821,2026-04-26 12:54:38.419512,0.7429698118195518
7,0.6999513797274635,COMPLETE,2026-04-26 12:54:18.896236,2026-04-26 12:54:37.865110,0.7429698118195518
8,0.5174011600216682,COMPLETE,2026-04-26 12:54:25.458490,2026-04-26 12:54:33.214691,0.7429698118195518
9,-0.4429945924986976,COMPLETE,2026-04-26 12:54:27.220296,2026-04-26 12:54:34.173750,0.7429698118195518
10,-0.46523354586116805,COMPLETE,2026-04-26 12:54:27.267146,2026-04-26 12:54:34.378193,0.7429698118195518
11,-0.5564549794412081,COMPLETE,2026-04-26 12:54:27.369758,2026-04-26 12:54:32.556913,0.7429698118195518
12,-0.4753263587561737,COMPLETE,2026-04-26 12:54:32.559772,2026-04-26 12:54:39.230172,0.7429698118195518
13,0.6437591167335441,COMPLETE,2026-04-26 12:54:33.219369,2026-04-26 12:54:54.405720,0.7429698118195518
14,0.1084182624126744,COMPLETE,2026-04-26 12:54:34.183290,2026-04-26 12:54:41.091388,0.7429698118195518
15,-0.5295787493759537,COMPLETE,2026-04-26 12:54:34.396790,2026-04-26 12:54:40.497665,0.7429698118195518
16,0.7197571583317653,COMPLETE,2026-04-26 12:54:36.916026,2026-04-26 12:55:45.571397,0.7429698118195518
17,-0.2776192492574803,COMPLETE,2026-04-26 12:54:37.766278,2026-04-26 12:54:42.020710,0.7429698118195518
18,-0.5177745716435139,COMPLETE,2026-04-26 12:54:37.869146,2026-04-26 12:54:41.497396,0.7429698118195518
19,0.72014882049644,COMPLETE,2026-04-26 12:54:38.426293,2026-04-26 12:54:45.511521,0.7429698118195518
20,0.479269763798571,COMPLETE,2026-04-26 12:54:39.234152,2026-04-26 12:54:42.489249,0.7429698118195518
21,-0.2576125286587328,COMPLETE,2026-04-26 12:54:40.502626,2026-04-26 12:54:44.044899,0.7429698118195518
22,-0.49996786667692034,COMPLETE,2026-04-26 12:54:41.094356,2026-04-26 12:54:44.863452,0.7429698118195518
23,-0.48259860671794236,COMPLETE,2026-04-26 12:54:41.500836,2026-04-26 12:54:46.215344,0.7429698118195518
24,0.39361431675061115,COMPLETE,2026-04-26 12:54:42.024429,2026-04-26 12:54:47.273748,0.7429698118195518
25,0.6982216617186462,COMPLETE,2026-04-26 12:54:42.495590,2026-04-26 12:54:48.784373,0.7429698118195518
26,0.7285567823492595,COMPLETE,2026-04-26 12:54:44.048994,2026-04-26 12:54:56.757812,0.7429698118195518
27,0.7025167487045456,COMPLETE,2026-04-26 12:54:44.868690,2026-04-26 12:55:19.310586,0.7429698118195518
28,0.6930686709354967,COMPLETE,2026-04-26 12:54:45.518545,2026-04-26 12:55:14.138391,0.7429698118195518
29,0.7212022220899947,COMPLETE,2026-04-26 12:54:46.218304,2026-04-26 12:55:14.260345,0.7429698118195518
30,0.7129302526704753,COMPLETE,2026-04-26 12:54:47.276976,2026-04-26 12:55:17.180492,0.7429698118195518
31,0.7123745142665889,COMPLETE,2026-04-26 12:54:48.788316,2026-04-26 12:55:28.826309,0.7429698118195518
32,0.6993296639066096,COMPLETE,2026-04-26 12:54:54.411865,2026-04-26 12:55:36.153162,0.7429698118195518
33,0.7178208656568371,COMPLETE,2026-04-26 12:54:56.760858,2026-04-26 12:55:45.530705,0.7429698118195518
34,0.7199518900383914,COMPLETE,2026-04-26 12:55:14.149913,2026-04-26 12:56:11.006824,0.7429698118195518
35,0.7173978475114037,COMPLETE,2026-04-26 12:55:14.274536,2026-04-26 12:56:12.071236,0.7429698118195518
36,0.7694593690613213,COMPLETE,2026-04-26 12:55:17.186634,2026-04-26 12:56:13.233376,0.7694593690613213
37,0.7520757761698291,COMPLETE,2026-04-26 12:55:19.313336,2026-04-26 12:56:04.578717,0.7694593690613213
38,0.7055263536813218,COMPLETE,2026-04-26 12:55:28.832988,2026-04-26 12:56:23.893293,0.7694593690613213
39,0.6288812938113061,COMPLETE,2026-04-26 12:55:36.155446,2026-04-26 12:56:01.376008,0.7694593690613213
40,0.7255618429733967,COMPLETE,2026-04-26 12:55:45.534199,2026-04-26 12:56:14.354934,0.7694593690613213
41,0.7155279178350579,COMPLETE,2026-04-26 12:55:45.573967,2026-04-26 12:56:17.075819,0.7694593690613213
42,0.7441525827883484,COMPLETE,2026-04-26 12:56:01.383931,2026-04-26 12:56:28.416580,0.7694593690613213
43,0.7937988990523952,COMPLETE,2026-04-26 12:56:04.581158,2026-04-26 12:56:40.520432,0.7937988990523952
44,0.8039338907766964,COMPLETE,2026-04-26 12:56:11.009881,2026-04-26 12:56:53.646124,0.8039338907766964
45,0.810650786764605,COMPLETE,2026-04-26 12:56:12.075454,2026-04-26 12:57:02.941916,0.810650786764605
46,0.8049998466401718,COMPLETE,2026-04-26 12:56:13.241326,2026-04-26 12:57:05.368242,0.810650786764605
47,0.636368865291143,COMPLETE,2026-04-26 12:56:14.361351,2026-04-26 12:56:35.361999,0.810650786764605
48,0.8118962557538666,COMPLETE,2026-04-26 12:56:17.082812,2026-04-26 12:57:08.506374,0.8118962557538666
49,0.7968270515618434,COMPLETE,2026-04-26 12:56:23.896602,2026-04-26 12:57:06.669820,0.8118962557538666
50,0.4260909657667075,COMPLETE,2026-04-26 12:56:28.420999,2026-04-26 12:56:47.218472,0.8118962557538666
51,0.7481299066468956,COMPLETE,2026-04-26 12:56:35.371675,2026-04-26 12:57:04.781640,0.8118962557538666
52,0.7567388415254395,COMPLETE,2026-04-26 12:56:40.542093,2026-04-26 12:57:08.469298,0.8118962557538666
53,0.5253693574461606,COMPLETE,2026-04-26 12:56:47.226101,2026-04-26 12:57:15.026653,0.8118962557538666
54,0.7358869031974139,COMPLETE,2026-04-26 12:56:53.649637,2026-04-26 12:57:28.397411,0.8118962557538666
55,0.7062922237297289,COMPLETE,2026-04-26 12:57:02.952743,2026-04-26 12:57:46.360744,0.8118962557538666
56,0.7502484356611818,COMPLETE,2026-04-26 12:57:04.785386,2026-04-26 12:57:55.361646,0.8118962557538666
57,0.7377415175321551,COMPLETE,2026-04-26 12:57:05.372590,2026-04-26 12:57:51.450420,0.8118962557538666
58,0.736821896410295,COMPLETE,2026-04-26 12:57:06.677913,2026-04-26 12:57:43.597112,0.8118962557538666
59,0.7413107409729415,COMPLETE,2026-04-26 12:57:08.484377,2026-04-26 12:57:54.997541,0.8118962557538666
60,0.7374819729418338,COMPLETE,2026-04-26 12:57:08.515576,2026-04-26 12:57:56.457814,0.8118962557538666
61,0.7266970594587722,COMPLETE,2026-04-26 12:57:15.035174,2026-04-26 12:58:04.360350,0.8118962557538666
62,0.7345097188515894,COMPLETE,2026-04-26 12:57:28.411990,2026-04-26 12:58:21.042940,0.8118962557538666
63,0.7128239317075513,COMPLETE,2026-04-26 12:57:43.613334,2026-04-26 12:58:36.689417,0.8118962557538666
