number,cv_r2,state,datetime_start,datetime_complete,best_so_far
0,0.6504170589838281,COMPLETE,2026-05-02 06:19:40.148796,2026-05-02 06:19:47.875711,0.6504170589838281
1,0.4247603952425746,COMPLETE,2026-05-02 06:19:40.154205,2026-05-02 06:19:46.898945,0.6504170589838281
2,0.4801873062419966,COMPLETE,2026-05-02 06:19:40.160247,2026-05-02 06:19:48.373541,0.6504170589838281
3,0.4924106103295584,COMPLETE,2026-05-02 06:19:40.164977,2026-05-02 06:19:48.122016,0.6504170589838281
4,0.5364288568811573,COMPLETE,2026-05-02 06:19:40.167639,2026-05-02 06:19:47.671581,0.6504170589838281
5,0.4924106103295584,COMPLETE,2026-05-02 06:19:40.171066,2026-05-02 06:19:48.419616,0.6504170589838281
6,0.6109681239521894,COMPLETE,2026-05-02 06:19:40.174805,2026-05-02 06:19:48.275019,0.6504170589838281
7,0.5725571576702713,COMPLETE,2026-05-02 06:19:40.176422,2026-05-02 06:19:48.629619,0.6504170589838281
8,0.5594010636059852,COMPLETE,2026-05-02 06:19:46.912384,2026-05-02 06:19:54.785938,0.6504170589838281
9,0.5466355705337089,COMPLETE,2026-05-02 06:19:47.675409,2026-05-02 06:19:54.545724,0.6504170589838281
10,0.5364288568811573,COMPLETE,2026-05-02 06:19:47.879234,2026-05-02 06:19:54.834252,0.6504170589838281
11,0.5994650945099262,COMPLETE,2026-05-02 06:19:48.125009,2026-05-02 06:19:55.760157,0.6504170589838281
12,0.4386330739746336,COMPLETE,2026-05-02 06:19:48.276110,2026-05-02 06:19:54.981688,0.6504170589838281
13,0.5364288568811573,COMPLETE,2026-05-02 06:19:48.376132,2026-05-02 06:19:55.300136,0.6504170589838281
14,0.5542930441777476,COMPLETE,2026-05-02 06:19:48.420624,2026-05-02 06:19:55.798727,0.6504170589838281
15,0.6079445879554803,COMPLETE,2026-05-02 06:19:48.631002,2026-05-02 06:19:55.188481,0.6504170589838281
16,0.5725571576702713,COMPLETE,2026-05-02 06:19:54.549016,2026-05-02 06:20:02.333317,0.6504170589838281
17,0.4966802924303086,COMPLETE,2026-05-02 06:19:54.804082,2026-05-02 06:20:01.792309,0.6504170589838281
18,0.6504170589838281,COMPLETE,2026-05-02 06:19:54.835766,2026-05-02 06:20:01.970242,0.6504170589838281
19,0.5542930441777476,COMPLETE,2026-05-02 06:19:54.982906,2026-05-02 06:20:02.449595,0.6504170589838281
20,0.5692015302021525,COMPLETE,2026-05-02 06:19:55.190127,2026-05-02 06:20:02.868923,0.6504170589838281
21,0.42194393932395147,COMPLETE,2026-05-02 06:19:55.301406,2026-05-02 06:20:02.374276,0.6504170589838281
22,0.5364288568811573,COMPLETE,2026-05-02 06:19:55.761289,2026-05-02 06:20:02.879696,0.6504170589838281
23,0.5180948381135034,COMPLETE,2026-05-02 06:19:55.802031,2026-05-02 06:20:03.706688,0.6504170589838281
24,0.392051451797488,COMPLETE,2026-05-02 06:20:01.794506,2026-05-02 06:20:08.457647,0.6504170589838281
25,0.5948719181169043,COMPLETE,2026-05-02 06:20:01.973324,2026-05-02 06:20:08.621445,0.6504170589838281
26,0.5180948381135034,COMPLETE,2026-05-02 06:20:02.335879,2026-05-02 06:20:10.500372,0.6504170589838281
27,0.5948719181169043,COMPLETE,2026-05-02 06:20:02.375611,2026-05-02 06:20:09.369934,0.6504170589838281
28,0.5948719181169043,COMPLETE,2026-05-02 06:20:02.450901,2026-05-02 06:20:08.831778,0.6504170589838281
29,0.5948719181169043,COMPLETE,2026-05-02 06:20:02.870980,2026-05-02 06:20:09.901476,0.6504170589838281
30,0.5948719181169043,COMPLETE,2026-05-02 06:20:02.881924,2026-05-02 06:20:09.765379,0.6504170589838281
31,0.5948719181169043,COMPLETE,2026-05-02 06:20:03.708191,2026-05-02 06:20:11.194942,0.6504170589838281
32,0.5948719181169043,COMPLETE,2026-05-02 06:20:08.460067,2026-05-02 06:20:16.242656,0.6504170589838281
33,0.5072943859098412,COMPLETE,2026-05-02 06:20:08.623586,2026-05-02 06:20:16.024321,0.6504170589838281
34,0.5072943859098412,COMPLETE,2026-05-02 06:20:08.837531,2026-05-02 06:20:16.109105,0.6504170589838281
35,0.5072943859098412,COMPLETE,2026-05-02 06:20:09.374053,2026-05-02 06:20:16.224242,0.6504170589838281
36,0.5751775731217014,COMPLETE,2026-05-02 06:20:09.767295,2026-05-02 06:20:17.532723,0.6504170589838281
37,0.5751775731217014,COMPLETE,2026-05-02 06:20:09.903317,2026-05-02 06:20:17.578879,0.6504170589838281
38,0.6504170589838281,COMPLETE,2026-05-02 06:20:10.503781,2026-05-02 06:20:17.746232,0.6504170589838281
39,0.5072943859098412,COMPLETE,2026-05-02 06:20:11.197261,2026-05-02 06:20:18.093006,0.6504170589838281
40,0.6504170589838281,COMPLETE,2026-05-02 06:20:16.028712,2026-05-02 06:20:22.494675,0.6504170589838281
41,0.6504170589838281,COMPLETE,2026-05-02 06:20:16.111495,2026-05-02 06:20:23.039028,0.6504170589838281
42,0.6504170589838281,COMPLETE,2026-05-02 06:20:16.226154,2026-05-02 06:20:23.389959,0.6504170589838281
43,0.6504170589838281,COMPLETE,2026-05-02 06:20:16.244931,2026-05-02 06:20:23.256018,0.6504170589838281
44,0.6504170589838281,COMPLETE,2026-05-02 06:20:17.534748,2026-05-02 06:20:24.186999,0.6504170589838281
45,0.6109681239521894,COMPLETE,2026-05-02 06:20:17.581346,2026-05-02 06:20:24.873268,0.6504170589838281
46,0.6109681239521894,COMPLETE,2026-05-02 06:20:17.749133,2026-05-02 06:20:25.251887,0.6504170589838281
47,0.5994650945099262,COMPLETE,2026-05-02 06:20:18.096378,2026-05-02 06:20:25.083309,0.6504170589838281
48,0.6145242030932556,COMPLETE,2026-05-02 06:20:22.497453,2026-05-02 06:20:29.254398,0.6504170589838281
49,0.6145242030932556,COMPLETE,2026-05-02 06:20:23.043814,2026-05-02 06:20:29.782625,0.6504170589838281
50,0.6145242030932556,COMPLETE,2026-05-02 06:20:23.258595,2026-05-02 06:20:30.068072,0.6504170589838281
51,0.6145242030932556,COMPLETE,2026-05-02 06:20:23.392623,2026-05-02 06:20:30.208383,0.6504170589838281
52,0.6145242030932556,COMPLETE,2026-05-02 06:20:24.189436,2026-05-02 06:20:31.131258,0.6504170589838281
53,0.6145242030932556,COMPLETE,2026-05-02 06:20:24.877655,2026-05-02 06:20:30.919568,0.6504170589838281
54,0.6145242030932556,COMPLETE,2026-05-02 06:20:25.085749,2026-05-02 06:20:31.201670,0.6504170589838281
55,0.5914499301990389,COMPLETE,2026-05-02 06:20:25.254290,2026-05-02 06:20:32.487675,0.6504170589838281
56,0.5914499301990389,COMPLETE,2026-05-02 06:20:29.256653,2026-05-02 06:20:35.973490,0.6504170589838281
57,0.5914499301990389,COMPLETE,2026-05-02 06:20:29.784935,2026-05-02 06:20:35.995720,0.6504170589838281
58,0.5914499301990389,COMPLETE,2026-05-02 06:20:30.070700,2026-05-02 06:20:36.754782,0.6504170589838281
59,0.5914499301990389,COMPLETE,2026-05-02 06:20:30.211395,2026-05-02 06:20:37.129770,0.6504170589838281
60,0.5914499301990389,COMPLETE,2026-05-02 06:20:30.923121,2026-05-02 06:20:37.984628,0.6504170589838281
61,0.5914499301990389,COMPLETE,2026-05-02 06:20:31.134154,2026-05-02 06:20:37.992023,0.6504170589838281
62,0.5914499301990389,COMPLETE,2026-05-02 06:20:31.204160,2026-05-02 06:20:37.625719,0.6504170589838281
63,0.6504170589838281,COMPLETE,2026-05-02 06:20:32.491718,2026-05-02 06:20:39.281571,0.6504170589838281
64,0.6504170589838281,COMPLETE,2026-05-02 06:20:35.976508,2026-05-02 06:20:42.707825,0.6504170589838281
65,0.6504170589838281,COMPLETE,2026-05-02 06:20:35.999491,2026-05-02 06:20:42.768494,0.6504170589838281
66,0.5601149821832234,COMPLETE,2026-05-02 06:20:36.758687,2026-05-02 06:20:43.427885,0.6504170589838281
67,0.6504170589838281,COMPLETE,2026-05-02 06:20:37.132913,2026-05-02 06:20:43.940650,0.6504170589838281
