number,cv_r2,state,datetime_start,datetime_complete,best_so_far
0,0.4538715796445517,COMPLETE,2026-05-02 11:29:47.513955,2026-05-02 11:29:48.813763,0.4538715796445517
1,0.4820602794042292,COMPLETE,2026-05-02 11:29:47.522149,2026-05-02 11:29:48.826693,0.4820602794042292
2,0.5235526319444463,COMPLETE,2026-05-02 11:29:47.527781,2026-05-02 11:29:49.858697,0.5235526319444463
3,0.5594010636059852,COMPLETE,2026-05-02 11:29:47.529562,2026-05-02 11:29:49.809015,0.5594010636059852
4,0.4808612497884755,COMPLETE,2026-05-02 11:29:47.531783,2026-05-02 11:29:49.086806,0.5594010636059852
5,0.5364288568811573,COMPLETE,2026-05-02 11:29:47.540334,2026-05-02 11:29:48.809663,0.5594010636059852
6,0.6109681239521894,COMPLETE,2026-05-02 11:29:47.542670,2026-05-02 11:29:49.772031,0.6109681239521894
7,0.5601149821832234,COMPLETE,2026-05-02 11:29:47.544906,2026-05-02 11:29:49.039027,0.6109681239521894
8,0.5948719181169043,COMPLETE,2026-05-02 11:29:48.816256,2026-05-02 11:29:50.024989,0.6109681239521894
9,0.3826461345136252,COMPLETE,2026-05-02 11:29:48.817865,2026-05-02 11:29:49.788411,0.6109681239521894
10,0.4801873062419966,COMPLETE,2026-05-02 11:29:48.827547,2026-05-02 11:29:50.700337,0.6109681239521894
11,0.44978317551147823,COMPLETE,2026-05-02 11:29:49.042773,2026-05-02 11:29:50.110968,0.6109681239521894
12,0.42034711804666763,COMPLETE,2026-05-02 11:29:49.091720,2026-05-02 11:29:50.707081,0.6109681239521894
13,0.562283749309574,COMPLETE,2026-05-02 11:29:49.773551,2026-05-02 11:29:50.648022,0.6109681239521894
14,0.5751775731217014,COMPLETE,2026-05-02 11:29:49.790322,2026-05-02 11:29:50.881270,0.6109681239521894
15,0.6145242030932556,COMPLETE,2026-05-02 11:29:49.810901,2026-05-02 11:29:50.954388,0.6145242030932556
16,0.3647450418259528,COMPLETE,2026-05-02 11:29:49.860833,2026-05-02 11:29:51.596125,0.6145242030932556
17,0.47152915549924757,COMPLETE,2026-05-02 11:29:50.028126,2026-05-02 11:29:51.840473,0.6145242030932556
18,0.6504170589838281,COMPLETE,2026-05-02 11:29:50.112121,2026-05-02 11:29:51.301924,0.6504170589838281
19,0.427235427057799,COMPLETE,2026-05-02 11:29:50.649710,2026-05-02 11:29:52.663889,0.6504170589838281
20,0.45626154506929845,COMPLETE,2026-05-02 11:29:50.702381,2026-05-02 11:29:52.653095,0.6504170589838281
