rank,feature,source,tree_imp_c1_holdingtemp,tree_imp_c1_holdingtime,tree_imp_mean,perm_imp_c1_holdingtemp,perm_imp_c1_holdingtime,perm_imp_mean
1,morph_martensite_island_area_mean,morph,0.004827409732770905,0.0,0.0024137048663854526,0.8153338059971847,0.23037030368835687,0.5228520548427709
2,morph_ferrite_area_std,morph,2.0708522088320417e-07,0.0,1.0354261044160209e-07,0.21854536897421667,0.16068265567313952,0.18961401232367808
3,morph_ferrite_area_mean,morph,0.0,0.0,0.0,0.06727160405106665,0.09501773832236679,0.08114467118671673
4,morph_ferrite_area_kurtosis,morph,0.0023469589523232733,0.0,0.0011734794761616367,0.006967840765689104,-0.004180534984900996,0.0013936528903940536
5,morph_glcm_contrast,morph,0.00016354341588749967,0.0,8.177170794374983e-05,-0.00031206041855557086,0.0017870046571034192,0.0007374721192739242
6,morph_ferrite_grain_count,morph,0.001090134184771589,0.0,0.0005450670923857945,0.0011343858215657975,0.00016428087212545518,0.0006493333468456263
7,img_0202,image,0.0027467995776746736,0.0,0.0013733997888373368,1.2388700926679874e-06,5.519875415416209e-07,8.954288171048042e-07
8,img_0487,image,1.7403232027067436e-07,0.0,8.701616013533718e-08,1.190375909099206e-06,4.417673397538735e-07,8.160716244265397e-07
9,img_0661,image,0.004130286227933574,0.0,0.002065143113966787,1.1260741727414647e-06,3.285054277712973e-07,7.272898002563811e-07
10,img_0517,image,1.7939536885243076e-05,0.0,8.969768442621538e-06,9.719869645707923e-07,4.5948423010866435e-07,7.157355973397283e-07
11,img_0193,image,0.016960068143916564,0.0,0.008480034071958282,3.718363062898966e-07,9.355013162126724e-07,6.536688112512845e-07
12,img_0300,image,1.0345672428253277e-05,0.0,5.172836214126638e-06,3.776494791662977e-07,7.666126644378935e-07,5.721310718020956e-07
13,img_0714,image,0.0,0.0,0.0,4.7200254029711173e-07,6.202290685264345e-07,5.461158044117731e-07
14,img_0645,image,0.0,0.0,0.0,1.1344545648883652e-06,-7.397579200318916e-08,5.30239386442588e-07
15,img_0632,image,0.009277130117076076,0.0,0.004638565058538038,2.437354403750369e-07,7.940771988401707e-07,5.189063196076038e-07
16,img_0626,image,0.0,0.0,0.0,3.8251588055926435e-07,6.391591036658539e-07,5.108374921125591e-07
17,img_0034,image,0.0006770674172673944,0.0,0.0003385337086336972,5.521126790086761e-07,4.40077886354473e-07,4.960952826815745e-07
18,img_0049,image,0.0,0.0,0.0,3.416754862262117e-07,6.316270373840637e-07,4.866512618051377e-07
19,img_0679,image,0.0014011023324358334,0.0,0.0007005511662179167,6.955429368793453e-07,2.573495315294494e-07,4.764462342043973e-07
20,img_0152,image,0.0,0.0,0.0,5.274739432348241e-07,3.996370832259899e-07,4.6355551323040697e-07
21,img_0145,image,0.0,0.0,0.0,2.3135959899001078e-07,6.830823061854119e-07,4.572209525877113e-07
22,img_0484,image,0.017820028513962426,0.0,0.008910014256981213,1.1301226131243959e-06,-2.2099371321804284e-07,4.545644499531765e-07
23,img_0182,image,0.0,0.0,0.0,5.137041181435543e-07,3.9300884795423486e-07,4.5335648304889453e-07
24,img_0024,image,7.790760987229645e-05,0.0,3.8953804936148224e-05,4.208429852825546e-07,4.700223704023898e-07,4.454326778424722e-07
25,img_0228,image,0.0,0.0,0.0,3.18606170024438e-07,5.569839963914802e-07,4.377950832079591e-07
26,img_0596,image,6.650231610378256e-06,3.435175426348918e-17,3.3251158052063035e-06,5.510542544717722e-07,3.216487969082138e-07,4.36351525689993e-07
27,img_0218,image,3.0289103916882597e-05,0.0,1.5144551958441298e-05,6.648734604763895e-07,1.916986656524955e-07,4.282860630644425e-07
28,img_0247,image,0.0,0.0,0.0,4.5122406446829186e-07,3.982513918643349e-07,4.247377281663134e-07
29,img_0256,image,2.063532627806666e-05,0.0,1.031766313903333e-05,2.594433751723635e-07,5.744059560219839e-07,4.1692466559717367e-07
30,img_0122,image,1.0650166108367768e-08,0.0,5.325083054183884e-09,7.413973902581361e-08,7.53286827315236e-07,4.1371328317052485e-07
31,img_0469,image,0.0,0.0,0.0,-2.0677580233607885e-07,1.0143780366345112e-06,4.038011171492162e-07
32,morph_glcm_dissimilarity,morph,0.0,0.0,0.0,-3.571508117916622e-07,1.1617906124916644e-06,4.023199003500011e-07
33,img_0108,image,0.13264216163169262,0.0,0.06632108081584631,3.6026086384088887e-07,4.3166753262990907e-07,3.9596419823539897e-07
34,img_0716,image,0.0019670643958852384,0.0,0.0009835321979426192,1.0008122851568046e-07,6.8567246092055e-07,3.928768447181152e-07
35,img_0183,image,3.49962804535855e-06,0.0,1.749814022679275e-06,9.503821521872346e-07,-1.743556850897221e-07,3.8801323354875624e-07
36,img_0430,image,0.00010166647083043859,0.0,5.0833235415219293e-05,5.796285923342914e-07,1.925262243185344e-07,3.860774083264129e-07
37,img_0439,image,0.0,0.0,0.0,5.500077199238618e-07,2.1561914085310718e-07,3.828134303884845e-07
38,img_0471,image,4.80636301974621e-05,0.0,2.403181509873105e-05,3.470895160062604e-07,4.169201754944396e-07,3.8200484575034996e-07
39,img_0516,image,0.0,6.507239280922158e-17,3.253619640461079e-17,2.7998355289771127e-08,7.353465849124774e-07,3.8167247010112426e-07
40,img_0740,image,0.0,0.0,0.0,9.017378124198672e-08,6.652004532092803e-07,3.776871172256335e-07
41,img_0409,image,1.636467663024907e-05,0.0,8.182338315124536e-06,5.610238486664088e-07,1.9158459518830995e-07,3.7630422192735937e-07
42,img_0708,image,9.318705177985963e-05,0.0,4.6593525889929815e-05,-2.53829856800003e-08,7.52474773491052e-07,3.6354589390552584e-07
43,img_0688,image,0.0,0.0,0.0,6.24325468989717e-08,6.601599579658668e-07,3.612962524324192e-07
44,img_0249,image,5.882505280866066e-05,0.0,2.941252640433033e-05,4.161510337885588e-07,2.9426066339155454e-07,3.5520584859005664e-07
45,img_0527,image,0.030032926570354595,0.0,0.015016463285177297,2.5165588092290746e-07,4.2395384045601505e-07,3.3780486068946123e-07
46,img_0242,image,2.1821152631875943e-06,1.785233766160506e-17,1.0910576316027234e-06,4.2407605396199697e-07,2.4761874299894516e-07,3.358473984804711e-07
47,img_0374,image,0.0,0.0,0.0,3.7375974798470324e-07,2.8819763733256563e-07,3.3097869265863443e-07
48,img_0613,image,0.0007739479113287023,0.0,0.00038697395566435113,5.17856583981402e-07,1.1979407494866478e-07,3.1882532946503337e-07
49,img_0082,image,2.035833140848286e-05,1.361862779368522e-17,1.017916570424824e-05,5.800688003043675e-07,4.9448514349847986e-08,3.1475865732710776e-07
50,img_0405,image,0.0,0.0,0.0,3.021489691890089e-07,3.1860909044389985e-07,3.103790298164544e-07
51,img_0023,image,0.0,0.0,0.0,3.2328224240929516e-07,2.927431700605609e-07,3.0801270623492807e-07
52,img_0131,image,0.0,0.0,0.0,2.1252086039869057e-07,3.9567536642692857e-07,3.0409811341280957e-07
53,img_0090,image,3.824406290906222e-06,0.0,1.912203145453111e-06,-2.848291050794316e-08,6.318058895171674e-07,3.016614895046121e-07
54,img_0647,image,0.0,0.0,0.0,7.317426604647182e-08,5.209580941523128e-07,2.9706618009939234e-07
55,img_0095,image,0.0005718963688018414,6.3119649107210686e-18,0.00028594818440092385,3.2246755438114505e-07,2.703725026753645e-07,2.964200285282548e-07
56,img_0229,image,3.566010624235795e-07,0.0,1.7830053121178976e-07,4.988394264660023e-07,9.322829142011102e-08,2.960338589430567e-07
57,img_0498,image,0.0,0.0,0.0,3.5856812502510493e-07,2.3160439337477358e-07,2.9508625919993923e-07
58,img_0415,image,0.0,7.347760927794764e-19,3.673880463897382e-19,2.5711956485041655e-07,3.2674545842326096e-07,2.9193251163683875e-07
59,img_0572,image,0.0,1.34125794713714e-19,6.7062897356857e-20,2.3729536712258082e-07,3.383454263206076e-07,2.8782039672159425e-07
60,img_0691,image,0.0,0.0,0.0,3.038724377901758e-07,2.684827203225382e-07,2.86177579056357e-07
61,img_0623,image,0.0,0.0,0.0,5.951399202008822e-07,-2.616612622130532e-08,2.8448689698978843e-07
62,img_0657,image,0.0,0.0,0.0,4.6032411931129503e-07,1.0758227511065144e-07,2.8395319721097325e-07
63,img_0548,image,0.0,0.0,0.0,1.0880781858846333e-07,4.470809791046193e-07,2.7794439884654133e-07
64,img_0042,image,0.00340075445498157,0.0,0.001700377227490785,-2.2193112692026062e-08,5.66508286081735e-07,2.7215758669485443e-07
65,img_0379,image,0.00011919227120996713,0.0,5.9596135604983565e-05,2.0490984277143908e-07,3.3681636819604676e-07,2.708631054837429e-07
66,img_0337,image,0.0,0.0,0.0,2.1000212580002398e-07,3.3111896533544185e-07,2.705605455677329e-07
67,img_0602,image,2.6277921311856754e-05,0.0,1.3138960655928377e-05,2.9999183419615606e-07,2.3683333025825703e-07,2.6841258222720653e-07
68,img_0514,image,1.8205896238139458e-05,0.0,9.102948119069729e-06,3.1948621762589726e-07,2.1262344538364175e-07,2.660548315047695e-07
69,img_0499,image,0.0,0.0,0.0,3.6860755384671153e-07,1.5936767030488853e-07,2.639876120758e-07
70,img_0465,image,1.39484002819901e-05,0.0,6.97420014099505e-06,2.1595859195366884e-07,3.098151223568379e-07,2.628868571552534e-07
71,img_0744,image,0.00032390700654726584,0.0,0.00016195350327363292,3.827547628287853e-07,1.4294160932681876e-07,2.62848186077802e-07
72,img_0127,image,0.0,0.0,0.0,1.3051394035512586e-07,3.9036099841460725e-07,2.6043746938486657e-07
73,img_0186,image,0.0011614785285155845,0.0,0.0005807392642577922,4.119439662275681e-07,1.0483681494033447e-07,2.583903905839513e-07
74,img_0139,image,1.1831386013001005e-06,0.0,5.915693006500502e-07,1.7113164396675984e-07,3.4218059987711766e-07,2.5665612192193875e-07
75,img_0084,image,0.0,0.0,0.0,2.0432579399543017e-07,3.077475372315064e-07,2.5603666561346825e-07
76,img_0666,image,0.0,0.0,0.0,5.5894513728560466e-08,4.5138386806087283e-07,2.5363919089471663e-07
77,img_0533,image,0.0,0.0,0.0,1.7038004100911054e-07,3.3614200076748093e-07,2.5326102088829576e-07
78,img_0448,image,0.00014178747573017443,0.0,7.089373786508721e-05,2.4168211253394746e-07,2.6074429388955877e-07,2.512132032117531e-07
79,img_0591,image,0.0,0.0,0.0,3.284826855853851e-07,1.7354934886970596e-07,2.5101601722754554e-07
80,img_0429,image,0.0,0.0,0.0,1.1092014474689549e-07,3.897618869652675e-07,2.503410158560815e-07
81,img_0605,image,0.0018369022079673882,0.0,0.0009184511039836941,2.4669552657341497e-07,2.483784927065358e-07,2.475370096399754e-07
82,img_0209,image,0.004663768725881974,0.0,0.002331884362940987,3.996433498354435e-07,9.364860615868054e-08,2.4664597799706204e-07
83,img_0115,image,0.0,0.0,0.0,-9.03891032799642e-08,5.828263151652636e-07,2.462186059426497e-07
84,img_0173,image,0.0,0.0,0.0,5.353670749386196e-07,-4.427897390968383e-08,2.455440505144679e-07
85,img_0360,image,0.0,0.0,0.0,1.473373561489133e-07,3.397370927693544e-07,2.4353722445913385e-07
86,img_0317,image,1.456804353610115e-07,0.0,7.284021768050576e-08,-2.000522520972936e-08,5.039738214751565e-07,2.4198429813271357e-07
87,img_0733,image,8.669203668279199e-05,0.0,4.3346018341395996e-05,-1.782997871568881e-08,4.992185416607952e-07,2.406942814725532e-07
88,img_0282,image,0.0009437541223265938,0.0,0.0004718770611632969,1.8943137776172846e-07,2.907258910722632e-07,2.4007863441699584e-07
89,img_0364,image,0.0015841646718414587,0.0,0.0007920823359207293,1.23192952883322e-07,3.536898074418815e-07,2.384413801626017e-07
90,img_0447,image,0.0,1.517176561942808e-18,7.58588280971404e-19,3.4268384145885734e-07,1.29881650701158e-07,2.3628274608000767e-07
91,img_0005,image,0.0,0.0,0.0,1.267196380938529e-07,3.4508812369882235e-07,2.359038808963376e-07
92,img_0241,image,4.1396620162524986e-05,0.0,2.0698310081262493e-05,3.2172530861629413e-09,4.649794724365108e-07,2.3409836276133688e-07
93,img_0610,image,5.916713421957557e-05,0.0,2.9583567109787785e-05,6.239645212735567e-07,-1.575830247180221e-07,2.331907482777673e-07
